Question,Answer,Type
"Not interested
","You:
Fair enough. Quick question though — do you already have this sorted, or is it just not a priority right now?

If they engage:
What would it take for it to be a priority?

",Dismissive Objections
"What do you do? ","The problem that we solve is contract blindness. This creates 3 issues. Can I share what they are?

1.) Expensive mistakes e.g unwanted auto renewals  
2.) Missed opportunities in your contracts like missed price increases 
3.) Dangerous risks that are lurking in your contracts that you don’t know about but could bite you like uncapped liabilities. 

How are you preventing these at NAME? ",Dismissive Objections
Call me in 6 months,"You:
No problem. What’s happening in six months? 

If they mention timing:
Makes sense. I'll put a note in. What's driving the timing, if you don't mind me asking?
",Dismissive Objections
"Send me an email
","You:
Happy to. What would have to be in that email to make it worth seeing a demo? 

If they're vague or resistant:
Being honest, most people say that to get me off the phone. Is that what's happening here?",Dismissive Objections
"Not my responsibility
","You:
Totally understand. I’m curious - who’s on the hook if you miss a key date in your contracts?

Then:
Alright if I mention we spoke when I reach out?",Dismissive Objections
"Where'd you get my number?
","You:
We use a data provider called Apollo to get our numbers. Sorry, it doesn’t tell us if it’s a work number or personal number. Is this your personal number?

Then:
I’m happy to delete your number from our database and I can forward you the opt out link to Apollo so no other company can find it. ",Dismissive Objections
"I'm in a meeting
","You:
Understood. In 10 seconds I can tell you why I called and if it’s not relevant I won’t call back. 

If it is I’m happy to schedule some time to call you back",Dismissive Objections
"Is this a cold call?
","You:
Yes it is. But this is one that you’ll want to take. 

Then:
Quick question - what happens to your contracts after they’re signed?

Alternative:
I often speak to legal teams who are fed up with using file systems like SharePoint for storing their contracts. What’s your current set up?",Dismissive Objections
"I thought you were someone else
","You:
Sorry to disappoint - if they call you back feel free to hang up. 

I’m calling because I speak to legal teams how are fed up with using file systems like SharePoint for storing their contracts. What’s your current set up?
",Dismissive Objections
"No budget
","You:
Understood. Just out of curiosity is that because this isn’t a priority or the budget has been allocated for this year?

If already allocated:
Who would normally own budget for something like this?

If budget wasn’t an issue would this be a problem worth solving?

In my experience these conversations typically happen in September. Is that the case for you?

Either
Normally budget conversations happen in September. we all know what summers like… everyones out. So lets jump on a call where I walk you through pricing and everything else you need so you are prepared going into these conversations and have that information in your back pocket. 

Or
In my experience when people aren’t ready to buy what’s usually useful is to have a conversation with us where we can show you a demo, give you pricing and tell you what to look out for when speaking to other vendors…","""Not the right time"" Objections"
